% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	1.76517e+06
0.081	1	1	1	1.76517e+06
0.121	1	1	1	1.76517e+06
0.161	1	1	1	1.76517e+06
0.201	1	1	1	1.76517e+06
0.241	1	1	1	1.76517e+06
0.281	1	1	1	1.76517e+06
0.321	1	1	1	1.76517e+06
0.361	1	1	1	1.76517e+06
0.401	1	1	1	1.76517e+06
0.441	1	1	1	1.76517e+06
0.481	1	1	1	1.76517e+06
0.521	1	1	1	1.76517e+06
0.561	1	1	1	1.76517e+06
0.601	1	1	1	1.76517e+06
0.641	1	1	1	1.76517e+06
0.681	1	1	1	1.76517e+06
0.721	1	1	1	1.76517e+06
0.761	1	1	1	1.76517e+06
0.801	1	1	1	1.76517e+06
0.841	1	1	1	1.76517e+06
0.881	1	1	1	1.76517e+06
0.921	1	1	1	1.76517e+06
0.961	1	1	1	1.76517e+06
1.001	1	1	1	1.76517e+06
1.041	1	1	1	1.76517e+06
1.081	1	1	1	1.76517e+06
